DateTime,CLOSE
2010/9/6,NaN
2010/9/7,NaN
2010/9/8,NaN
2010/9/9,NaN
2010/9/10,NaN
2010/9/13,NaN
2010/9/14,NaN
2010/9/15,NaN
2010/9/16,NaN
2010/9/17,NaN
2010/9/20,NaN
2010/9/21,NaN
2010/9/27,NaN
2010/9/28,NaN
2010/9/29,NaN
2010/9/30,NaN
2010/10/8,NaN
2010/10/11,NaN
2010/10/12,NaN
2010/10/13,NaN
2010/10/14,NaN
2010/10/15,NaN
2010/10/18,NaN
2010/10/19,NaN
2010/10/20,NaN
2010/10/21,NaN
2010/10/22,NaN
2010/10/25,NaN
2010/10/26,NaN
2010/10/27,NaN
2010/10/28,NaN
2010/10/29,NaN
2010/11/1,NaN
2010/11/2,NaN
2010/11/3,NaN
2010/11/4,NaN
2010/11/5,NaN
2010/11/8,NaN
2010/11/9,NaN
2010/11/10,NaN
2010/11/11,NaN
2010/11/12,NaN
2010/11/15,NaN
2010/11/16,NaN
2010/11/17,NaN
2010/11/18,NaN
2010/11/19,NaN
2010/11/22,NaN
2010/11/23,NaN
2010/11/24,NaN
2010/11/25,NaN
2010/11/26,NaN
2010/11/29,NaN
2010/11/30,NaN
2010/12/1,NaN
2010/12/2,NaN
2010/12/3,NaN
2010/12/6,NaN
2010/12/7,NaN
2010/12/8,NaN
2010/12/9,NaN
2010/12/10,NaN
2010/12/13,NaN
2010/12/14,NaN
2010/12/15,NaN
2010/12/16,NaN
2010/12/17,NaN
2010/12/20,NaN
2010/12/21,NaN
2010/12/22,NaN
2010/12/23,NaN
2010/12/24,NaN
2010/12/27,NaN
2010/12/28,NaN
2010/12/29,NaN
2010/12/30,NaN
2010/12/31,NaN
2011/1/4,NaN
2011/1/5,NaN
2011/1/6,NaN
2011/1/7,NaN
2011/1/10,NaN
2011/1/11,NaN
2011/1/12,NaN
2011/1/13,NaN
2011/1/14,NaN
2011/1/17,NaN
2011/1/18,NaN
2011/1/19,NaN
2011/1/20,NaN
2011/1/21,NaN
2011/1/24,NaN
2011/1/25,NaN
2011/1/26,NaN
2011/1/27,NaN
2011/1/28,NaN
2011/1/31,NaN
2011/2/1,NaN
2011/2/9,NaN
2011/2/10,NaN
2011/2/11,NaN
2011/2/14,NaN
2011/2/15,NaN
2011/2/16,NaN
2011/2/17,NaN
2011/2/18,NaN
2011/2/21,NaN
2011/2/22,NaN
2011/2/23,NaN
2011/2/24,NaN
2011/2/25,NaN
2011/2/28,NaN
2011/3/1,NaN
2011/3/2,NaN
2011/3/3,NaN
2011/3/4,NaN
2011/3/7,NaN
2011/3/8,NaN
2011/3/9,NaN
2011/3/10,NaN
2011/3/11,NaN
2011/3/14,NaN
2011/3/15,NaN
2011/3/16,NaN
2011/3/17,NaN
2011/3/18,NaN
2011/3/21,NaN
2011/3/22,NaN
2011/3/23,NaN
2011/3/24,NaN
2011/3/25,NaN
2011/3/28,NaN
2011/3/29,NaN
2011/3/30,NaN
2011/3/31,NaN
2011/4/1,NaN
2011/4/6,NaN
2011/4/7,NaN
2011/4/8,NaN
2011/4/11,NaN
2011/4/12,NaN
2011/4/13,NaN
2011/4/14,NaN
2011/4/15,NaN
2011/4/18,NaN
2011/4/19,NaN
2011/4/20,NaN
2011/4/21,NaN
2011/4/22,NaN
2011/4/25,NaN
2011/4/26,NaN
2011/4/27,NaN
2011/4/28,NaN
2011/4/29,NaN
2011/5/3,NaN
2011/5/4,NaN
2011/5/5,NaN
2011/5/6,NaN
2011/5/9,NaN
2011/5/10,NaN
2011/5/11,NaN
2011/5/12,NaN
2011/5/13,NaN
2011/5/16,NaN
2011/5/17,NaN
2011/5/18,NaN
2011/5/19,NaN
2011/5/20,NaN
2011/5/23,NaN
2011/5/24,NaN
2011/5/25,NaN
2011/5/26,NaN
2011/5/27,NaN
2011/5/30,NaN
2011/5/31,NaN
2011/6/1,NaN
2011/6/2,NaN
2011/6/3,NaN
2011/6/7,NaN
2011/6/8,NaN
2011/6/9,NaN
2011/6/10,NaN
2011/6/13,NaN
2011/6/14,NaN
2011/6/15,NaN
2011/6/16,NaN
2011/6/17,NaN
2011/6/20,NaN
2011/6/21,NaN
2011/6/22,NaN
2011/6/23,NaN
2011/6/24,NaN
2011/6/27,NaN
2011/6/28,NaN
2011/6/29,NaN
2011/6/30,NaN
2011/7/1,NaN
2011/7/4,NaN
2011/7/5,NaN
2011/7/6,NaN
2011/7/7,NaN
2011/7/8,NaN
2011/7/11,NaN
2011/7/12,NaN
2011/7/13,NaN
2011/7/14,NaN
2011/7/15,NaN
2011/7/18,NaN
2011/7/19,NaN
2011/7/20,NaN
2011/7/21,NaN
2011/7/22,NaN
2011/7/25,NaN
2011/7/26,NaN
2011/7/27,NaN
2011/7/28,NaN
2011/7/29,NaN
2011/8/1,NaN
2011/8/2,NaN
2011/8/3,NaN
2011/8/4,NaN
2011/8/5,NaN
2011/8/8,NaN
2011/8/9,NaN
2011/8/10,NaN
2011/8/11,NaN
2011/8/12,NaN
2011/8/15,NaN
2011/8/16,NaN
2011/8/17,NaN
2011/8/18,NaN
2011/8/19,NaN
2011/8/22,NaN
2011/8/23,NaN
2011/8/24,NaN
2011/8/25,NaN
2011/8/26,NaN
2011/8/29,NaN
2011/8/30,NaN
2011/8/31,NaN
2011/9/1,NaN
2011/9/2,NaN
2011/9/5,NaN
2011/9/6,NaN
2011/9/7,NaN
2011/9/8,NaN
2011/9/9,NaN
2011/9/13,NaN
2011/9/14,NaN
2011/9/15,NaN
2011/9/16,NaN
2011/9/19,NaN
2011/9/20,NaN
2011/9/21,NaN
2011/9/22,NaN
2011/9/23,NaN
2011/9/26,NaN
2011/9/27,NaN
2011/9/28,NaN
2011/9/29,NaN
2011/9/30,NaN
2011/10/10,NaN
2011/10/11,NaN
2011/10/12,NaN
2011/10/13,NaN
2011/10/14,NaN
2011/10/17,NaN
2011/10/18,NaN
2011/10/19,NaN
2011/10/20,NaN
2011/10/21,NaN
2011/10/24,NaN
2011/10/25,NaN
2011/10/26,NaN
2011/10/27,NaN
2011/10/28,NaN
2011/10/31,NaN
2011/11/1,NaN
2011/11/2,NaN
2011/11/3,NaN
2011/11/4,NaN
2011/11/7,NaN
2011/11/8,NaN
2011/11/9,NaN
2011/11/10,NaN
2011/11/11,NaN
2011/11/14,NaN
2011/11/15,NaN
2011/11/16,NaN
2011/11/17,NaN
2011/11/18,NaN
2011/11/21,NaN
2011/11/22,NaN
2011/11/23,NaN
2011/11/24,NaN
2011/11/25,NaN
2011/11/28,NaN
2011/11/29,NaN
2011/11/30,NaN
2011/12/1,NaN
2011/12/2,NaN
2011/12/5,NaN
2011/12/6,NaN
2011/12/7,NaN
2011/12/8,NaN
2011/12/9,NaN
2011/12/12,NaN
2011/12/13,NaN
2011/12/14,NaN
2011/12/15,NaN
2011/12/16,NaN
2011/12/19,NaN
2011/12/20,NaN
2011/12/21,NaN
2011/12/22,NaN
2011/12/23,NaN
2011/12/26,NaN
2011/12/27,NaN
2011/12/28,NaN
2011/12/29,NaN
2011/12/30,1000
2012/1/4,971.508
2012/1/5,933.958
2012/1/6,944.923
2012/1/9,987.543
2012/1/10,1033.679
2012/1/11,1040.015
2012/1/12,1040.192
2012/1/13,1005.84
2012/1/16,961.044
2012/1/17,1023.229
2012/1/18,1005.518
2012/1/19,1020.143
2012/1/20,1029.934
2012/1/30,1022.388
2012/1/31,1021.105
2012/2/1,1007.875
2012/2/2,1031.428
2012/2/3,1049.374
2012/2/6,1060.463
2012/2/7,1038.946
2012/2/8,1071.749
2012/2/9,1077.245
2012/2/10,1079.869
2012/2/13,1091.965
2012/2/14,1087.964
2012/2/15,1104.105
2012/2/16,1104.119
2012/2/17,1101.758
2012/2/20,1103.198
2012/2/21,1120.122
