"Date","Price","Open","High","Low","Vol.","Change %"
"02/11/2022","33.49","32.20","35.69","30.15","","9.95%"
"02/10/2022","30.46","35.27","35.27","28.46","","6.06%"
"02/09/2022","28.72","36.12","44.58","28.57","","-3.01%"
"02/08/2022","29.61","31.61","32.89","29.55","","-6.00%"
"02/07/2022","31.50","32.08","32.88","31.06","","1.71%"
"02/04/2022","30.97","33.95","33.95","30.60","","-6.72%"
"02/03/2022","33.20","36.30","37.41","31.87","","5.43%"
"02/02/2022","31.49","29.67","32.49","29.67","","0.19%"
"02/01/2022","31.43","32.18","34.55","29.87","","-5.50%"
"01/31/2022","33.26","37.43","37.88","33.15","","0.00%"
"01/28/2022","33.26","33.42","39.76","33.20","","-1.19%"
"01/27/2022","33.66","33.55","36.46","32.58","","-1.55%"
"01/26/2022","34.19","32.13","35.27","31.25","","4.14%"
"01/25/2022","32.83","35.25","38.69","32.21","","-8.24%"
"01/24/2022","35.78","39.24","57.69","33.02","","7.35%"
"01/21/2022","33.33","32.92","36.82","31.58","","7.07%"
"01/20/2022","31.13","32.53","32.88","28.90","","0.68%"
"01/19/2022","30.92","31.32","32.10","30.51","","-3.71%"
"01/18/2022","32.11","32.55","36.99","31.52","","8.85%"
"01/14/2022","29.50","31.91","31.91","29.35","","-5.33%"
"01/13/2022","31.16","29.81","31.16","29.24","","10.42%"
"01/12/2022","28.22","29.99","35.51","27.82","","-6.28%"
"01/11/2022","30.11","30.27","40.83","28.79","","2.10%"
"01/10/2022","29.49","30.48","31.53","29.48","","-1.99%"
"01/07/2022","30.09","30.14","31.60","28.48","","1.24%"
"01/06/2022","29.72","31.84","32.41","29.51","","0.61%"
"01/05/2022","29.54","32.14","32.14","28.59","","1.79%"
"01/04/2022","29.02","31.39","31.39","28.98","","1.93%"
"01/03/2022","28.47","29.17","29.96","28.44","","-2.10%"
"12/31/2021","29.08","31.06","31.50","28.79","","-2.05%"
"12/30/2021","29.69","30.32","31.67","29.24","","2.27%"
"12/29/2021","29.03","31.75","31.75","28.82","","-3.20%"
"12/28/2021","29.99","32.42","32.42","29.67","","6.08%"
"12/27/2021","28.27","32.75","32.75","28.04","","1.44%"
"12/23/2021","27.87","32.16","32.16","27.87","","-4.39%"
"12/22/2021","29.15","31.15","31.31","29.11","","-7.58%"
"12/21/2021","31.54","33.26","33.59","31.54","","-10.24%"
"12/20/2021","35.14","36.48","36.76","34.70","","6.84%"
"12/17/2021","32.89","32.10","35.43","25.70","","4.31%"
"12/16/2021","31.53","29.55","33.35","29.55","","-1.62%"
"12/15/2021","32.05","29.45","39.36","24.01","","1.62%"
"12/14/2021","31.54","30.49","31.75","28.59","","11.76%"
"12/13/2021","28.22","30.49","30.49","27.70","","2.54%"
"12/10/2021","27.52","30.93","30.93","26.19","","-3.98%"
"12/09/2021","28.66","29.89","29.99","28.32","","-0.59%"
"12/08/2021","28.83","30.16","30.24","28.58","","-5.69%"
"12/07/2021","30.57","31.04","31.54","30.32","","-9.82%"
"12/06/2021","33.90","38.20","38.27","33.42","","-6.35%"
"12/03/2021","36.20","32.33","42.90","32.00","","8.16%"
"12/02/2021","33.47","34.30","42.83","30.68","","5.52%"
"12/01/2021","31.72","32.79","38.39","30.25","","-3.79%"
"11/30/2021","32.97","30.23","39.77","30.23","","7.96%"
"11/29/2021","30.54","30.11","31.51","30.04","","-2.15%"
"11/26/2021","31.21","27.75","31.60","27.75","","13.91%"
"11/24/2021","27.40","28.20","28.97","27.27","","-3.59%"
"11/23/2021","28.42","28.80","29.24","28.07","","-0.04%"
"11/22/2021","28.43","29.03","29.73","28.30","","0.42%"
"11/19/2021","28.31","28.64","28.83","27.52","","-2.38%"
"11/18/2021","29.00","29.54","30.21","27.53","","1.19%"
"11/17/2021","28.66","30.72","30.77","28.01","","0.07%"
"11/16/2021","28.64","31.13","31.72","27.89","","-1.38%"
"11/15/2021","29.04","28.76","29.80","28.68","","0.17%"
"11/12/2021","28.99","31.39","31.47","28.85","","-2.26%"
"11/11/2021","29.66","31.08","31.36","29.24","","-2.53%"
"11/10/2021","30.43","27.94","38.55","27.55","","9.78%"
"11/09/2021","27.72","28.08","28.08","26.58","","1.02%"
"11/08/2021","27.44","26.12","27.81","26.12","","3.90%"
"11/05/2021","26.41","26.77","26.84","26.01","","0.19%"
"11/04/2021","26.36","27.02","27.02","26.02","","-1.57%"
"11/03/2021","26.78","26.69","26.88","26.08","","-5.27%"
"11/02/2021","28.27","26.57","28.69","26.25","","4.05%"
"11/01/2021","27.17","26.35","27.94","25.88","","0.89%"
"10/29/2021","26.93","25.93","27.81","25.90","","5.82%"
