date,cpu_index,old_cpu_index
1-Jan,100.4816768,88.51
1-Feb,90.9684846,47.68
1-Mar,93.88492055,81.74
1-Apr,90.85312226,88.29
1-May,108.0645824,111.62
1-Jun,113.7365429,207.95
1-Jul,92.44396622,100.06
1-Aug,73.273651,19.12
1-Sep,104.0768634,29.34
1-Oct,100.3506418,5.02
1-Nov,79.42252081,31.38
1-Dec,76.21255298,32.74
2-Jan,64.90589125,36.06
2-Feb,110.4691031,68.74
2-Mar,62.49144113,21.35
2-Apr,93.90980592,19.04
2-May,59.36087039,23.91
2-Jun,105.1377443,70.37
2-Jul,89.29076438,30.59
2-Aug,126.9246319,13.73
2-Sep,100.9248128,40.11
2-Oct,102.8782854,10.98
2-Nov,58.90880378,42.9
2-Dec,84.16593885,41.3
3-Jan,84.1561725,30.67
3-Feb,76.86654288,5.68
3-Mar,86.26357192,17.17
3-Apr,62.89947717,42.11
3-May,70.57107226,39.37
3-Jun,67.13287061,40.7
3-Jul,56.13459607,34.8
3-Aug,69.99804211,39.11
3-Sep,60.61973696,12.38
3-Oct,50.96979809,7.74
3-Nov,59.83214537,24.68
3-Dec,68.71494404,53.01
4-Jan,38.61809795,48.94
4-Feb,67.40422286,37.15
4-Mar,82.45697345,13.5
4-Apr,43.6560779,21.9
4-May,75.73579285,31.25
4-Jun,76.40351578,35.38
4-Jul,64.87805109,21.58
4-Aug,44.4551359,41.4
4-Sep,57.56079751,19.06
4-Oct,106.964105,39.77
4-Nov,61.64114862,54.78
4-Dec,62.72790324,15.34
5-Jan,66.64796341,23.9
5-Feb,66.01685432,23.99
5-Mar,63.7167658,36.88
5-Apr,57.15721314,15.28
5-May,56.46791712,4.43
5-Jun,72.70385309,113.93
5-Jul,94.03488199,50.18
5-Aug,49.40855967,17.78
5-Sep,106.6390575,44.24
5-Oct,47.23708926,22.95
5-Nov,38.17054774,19.92
5-Dec,74.25979964,57.48
6-Jan,35.13993325,31.01
6-Feb,50.27802138,40.15
6-Mar,52.31544467,35.94
6-Apr,66.08489137,61.34
6-May,73.70336115,56.97
6-Jun,154.3690114,111.63
6-Jul,28.16192749,61.66
6-Aug,54.90004867,7.06
6-Sep,39.54087432,7.96
6-Oct,68.82703309,60.06
6-Nov,108.0276738,129.35
6-Dec,78.90933271,137.79
7-Jan,144.0540974,176.91
7-Feb,103.0612095,157.74
7-Mar,144.2987446,156.06
7-Apr,95.45865419,140.24
7-May,73.13173818,130.34
7-Jun,139.3785174,166.16
7-Jul,95.55404747,38.18
7-Aug,58.33753402,67.17
7-Sep,78.43022502,120.62
7-Oct,88.06308914,97.74
7-Nov,110.1625404,109.03
7-Dec,163.2573241,293.73
8-Jan,94.64850879,105.78
8-Feb,96.94351639,96.44
8-Mar,55.12816288,61.98
8-Apr,93.90177954,163.55
8-May,85.66721683,107.29
8-Jun,77.59509203,110.57
8-Jul,109.0399252,184.06
8-Aug,90.8978408,104.02
8-Sep,100.1195376,110.09
8-Oct,132.771247,133.45
8-Nov,103.917627,131.96
8-Dec,124.9957876,121.42
9-Jan,104.2598946,125.93
9-Feb,149.8963892,225.92
9-Mar,128.8941015,143.8
9-Apr,84.95848139,105.16
9-May,87.87758408,83.73
9-Jun,88.24678604,117.87
9-Jul,71.64657962,112.78
9-Aug,77.37370337,91.88
9-Sep,97.78104702,118.27
9-Oct,95.41781309,108.86
9-Nov,94.59573833,129.48
9-Dec,108.599606,240.6
10-Jan,110.484442,182.71
10-Feb,62.89395715,104.32
10-Mar,78.89089656,75.35
10-Apr,106.3566412,119.41
10-May,160.3571125,87.88
10-Jun,133.244876,87.43
10-Jul,101.4714332,121.03
10-Aug,117.5594535,83.01
10-Sep,130.1349564,116.33
10-Oct,111.2400513,96.35
10-Nov,136.9150292,143.09
10-Dec,101.3182573,49.48
11-Jan,127.3389565,90.7
11-Feb,98.93989728,64.26
11-Mar,158.3348152,106.51
11-Apr,156.5996617,87.35
11-May,91.33076941,84.4
