DateTime,Geopolitics,Climate Policy,New Energy,Green Bond,Carbon Price,Crude Oil,Natural Gas,Coke
2018-03-26,0.9457401633262634,1.6437997791061,1741.3686,146.4291,35.75,433.8,3682.0,1891.0
2018-03-27,0.9457401633262634,1.23180453968081,1784.3914,146.4746,39.0,426.4,3615.0,1891.0
2018-03-28,0.9457401633262634,1.43222011196092,1752.9912,146.5795,39.0,414.1,3612.0,1791.5
2018-03-29,0.9457401633262634,1.4406348205539,1748.3821,146.6148,38.62,406.8,3596.0,1835.5
2018-03-30,0.9457401633262634,1.22788711485542,1768.9008,146.6759,38.62,412.0,3557.0,1780.0
2018-04-02,1.105688214302063,1.62199591691229,1761.1251,146.8797,39.5,417.0,3467.0,1860.5
2018-04-03,1.105688214302063,1.08081198329283,1733.3424,146.9828,39.5,405.5,3411.0,1860.5
2018-04-04,1.105688214302063,1.57545213877696,1716.5819,147.0759,37.1,402.3,3392.0,1860.5
2018-04-09,1.105688214302063,2.17891792822092,1713.7296,147.3859,37.1,400.5,3354.0,1860.5
2018-04-10,1.105688214302063,2.01631709178233,1724.2875,147.4197,37.1,410.1,3373.0,1860.5
2018-04-11,1.105688214302063,2.41481026800072,1733.8421,147.4657,33.4,418.2,3373.0,1860.5
2018-04-12,1.105688214302063,1.48419511603735,1713.3509,147.5298,36.74,424.4,3372.0,1860.5
2018-04-13,1.105688214302063,1.33700888923609,1710.3841,147.5876,36.74,426.1,3365.0,1860.5
2018-04-16,1.105688214302063,1.48454681185328,1695.335,147.7686,37.91,427.9,3342.0,1860.5
2018-04-17,1.105688214302063,1.07078606578025,1655.6812,147.8386,37.01,425.1,3334.0,1860.5
2018-04-18,1.105688214302063,1.260811618668,1682.3937,149.0273,37.3,425.4,3311.0,1808.5
2018-04-19,1.105688214302063,1.30306488977293,1703.1121,149.0577,39.0,437.8,3300.0,1827.0
2018-04-20,1.105688214302063,1.22982635091965,1669.9317,149.0397,39.0,439.9,3290.0,1818.5
2018-04-23,1.105688214302063,1.72649580555288,1661.2432,148.9803,38.67,436.3,3255.0,1834.5
2018-04-24,1.105688214302063,1.36458918424427,1697.1932,148.924,38.4,440.9,3257.0,1867.0
2018-04-25,1.105688214302063,1.3602602019477,1684.7968,149.0468,38.91,443.2,3251.0,1849.5
2018-04-26,1.105688214302063,0.925296471744342,1647.1997,149.0034,38.0,439.4,3247.0,1837.5
2018-04-27,1.105688214302063,1.44000749635348,1650.8023,148.9643,38.45,442.5,3248.0,1819.5
2018-05-02,1.5211362838745117,1.57927515544912,1647.2687,148.9453,38.0,441.2,3353.0,1852.5
2018-05-03,1.5211362838745117,0.977411093411591,1664.1324,148.9315,36.1,442.6,3368.0,1899.5
2018-05-04,1.5211362838745117,1.1520247347018,1659.6932,148.9479,35.29,445.5,3404.0,1879.0
2018-05-07,1.5211362838745117,1.4211517674333,1704.831,148.9472,38.37,454.7,3483.0,1881.0
2018-05-08,1.5211362838745117,1.13813292790677,1713.8135,148.7562,38.23,459.5,3527.0,1893.0
2018-05-09,1.5211362838745117,1.73532279447366,1713.2651,148.6242,38.23,455.8,3632.0,1870.5
2018-05-10,1.5211362838745117,1.52592089117588,1717.3853,148.5316,38.0,470.6,3713.0,1860.0
2018-05-11,1.5211362838745117,1.34026011150701,1723.2228,148.5179,38.0,470.4,3862.0,1892.0
2018-05-14,1.5211362838745117,1.66265050962445,1729.9155,148.5524,30.0,468.6,4259.0,1951.0
2018-05-15,1.5211362838745117,1.31180343209656,1740.3034,148.5515,38.05,471.0,4272.0,1883.5
2018-05-16,1.5211362838745117,1.57600239978776,1731.9908,148.5382,38.18,474.1,4223.0,1949.5
2018-05-17,1.5211362838745117,1.05248984039049,1711.9518,148.5542,38.21,476.8,4077.0,1956.0
2018-05-18,1.5211362838745117,1.10930446123574,1714.2013,148.5513,38.2,484.8,3982.0,1956.0
2018-05-21,1.5211362838745117,1.67601152216369,1733.8299,148.5987,38.2,482.4,3755.0,1832.5
2018-05-22,1.5211362838745117,1.2709952192174,1730.9395,148.6626,38.2,482.8,3683.0,1970.0
2018-05-23,1.5211362838745117,1.24642933868066,1709.2798,148.6795,38.49,488.1,3658.0,1961.0
2018-05-24,1.5211362838745117,1.12920989659373,1697.2513,148.8061,38.34,483.0,3679.0,1909.0
2018-05-25,1.5211362838745117,1.10001760181256,1674.0199,148.8888,38.34,480.6,3710.0,1892.0
2018-05-28,1.5211362838745117,1.44749373357658,1662.7534,149.0449,38.34,464.3,3756.0,1892.0
2018-05-29,1.5211362838745117,1.5267013236062,1650.3682,149.0279,38.34,462.7,3738.0,1901.0
2018-05-30,1.5211362838745117,1.53005795303775,1601.8417,149.0872,38.34,463.4,3708.0,1901.0
2018-05-31,1.5211362838745117,1.29105852042353,1613.868,149.0306,35.5,471.9,3676.0,1912.5
2018-06-01,1.168890118598938,1.24840543124679,1590.6319,149.0178,39.01,476.1,3667.0,1984.0
2018-06-04,1.168890118598938,1.75172720678768,1546.3491,149.0172,38.96,470.6,3705.0,1984.0
2018-06-05,1.168890118598938,1.20554811756101,1565.089,148.9318,39.06,466.1,3672.0,1984.0
2018-06-06,1.168890118598938,1.57423664876003,1561.2262,149.0236,39.11,460.7,3661.0,1984.0
2018-06-07,1.168890118598938,1.3733640883946,1559.0237,149.0767,38.9,461.8,3658.0,1984.0
2018-06-08,1.168890118598938,1.34041294935021,1542.0534,149.069,38.92,470.5,3657.0,1984.0
2018-06-11,1.168890118598938,2.68158867329389,1530.8344,149.1392,38.9,470.2,3625.0,1904.5
2018-06-12,1.168890118598938,1.39245036337001,1536.5531,149.1537,38.9,469.1,3620.0,2038.0
2018-06-13,1.168890118598938,1.37548077796723,1514.0115,149.1148,39.5,467.8,3602.0,2038.0
2018-06-14,1.168890118598938,1.26540068134837,1506.1282,149.1911,39.38,468.6,3601.0,1991.0
2018-06-15,1.168890118598938,1.66455252090269,1483.3428,149.3037,39.76,468.2,3613.0,2077.5
2018-06-19,1.168890118598938,1.38188398518297,1399.9928,149.396,40.0,460.7,3653.0,2041.0
2018-06-20,1.168890118598938,1.20610400739251,1408.6484,149.4465,40.0,462.2,3678.0,2032.5
2018-06-21,1.168890118598938,1.57636674851701,1375.6782,149.4165,40.0,463.5,3702.0,2032.5
