指标名称,上海碳排放权配额(SHEA):成交均价
2013/12/3,28.8
2013/12/4,28
2013/12/5,29
2013/12/6,29.5
2013/12/9,29
2013/12/11,29
2013/12/12,29.7
2013/12/16,29.22
2013/12/17,29.2
2013/12/18,29.3
2013/12/19,29.423423
2013/12/20,29.536842
2013/12/23,29.8
2013/12/24,29.8
2013/12/25,29.8
2013/12/26,29.5
2013/12/27,29.7
2013/12/30,29.7
2013/12/31,29.8
2014/1/2,29.7
2014/1/3,29.8
2014/1/6,29.7
2014/1/7,29.7
2014/1/8,29.7
2014/1/9,29.7
2014/1/10,29.8
2014/1/13,29.7
2014/1/14,29.8
2014/1/15,29.9
2014/1/16,29.9
2014/1/17,31.6
2014/1/20,31.5
2014/1/21,32.5
2014/1/22,32.5
2014/1/23,32
2014/1/24,33
2014/1/27,33
2014/1/28,33
2014/1/29,33
2014/2/7,34.1
2014/2/10,34.5
2014/2/11,34.5
2014/2/12,35
2014/2/13,35
2014/2/14,35.5
2014/2/17,36.07
2014/2/18,37.6
2014/2/19,40.22
2014/2/20,42.54
2014/2/21,44.91
2014/2/24,40.3
2014/2/25,37.5
2014/2/26,40
2014/2/28,40.8
2014/3/3,37.1
2014/3/5,40.09
2014/3/6,40.25
2014/3/10,39.5
2014/3/11,38
2014/3/12,39.8
2014/3/13,40
2014/3/14,40
2014/3/17,40
2014/3/18,39
2014/3/19,39.8
2014/3/20,39.8
2014/3/21,40.4
2014/3/24,40.5
2014/3/25,40
2014/3/27,40.1
2014/3/28,40
2014/3/31,40
2014/4/1,39.5
2014/4/2,38.5
2014/4/3,39.2
2014/4/4,39.38
2014/4/8,39.3
2014/4/9,38.9
2014/4/10,38.96
2014/4/14,39.2
2014/4/15,40.05
2014/4/18,36
2014/4/21,38
2014/4/22,39
2014/4/23,39.5
2014/4/24,39.32
2014/4/25,39.45
2014/4/28,39.4
2014/4/29,39.62
2014/4/30,39.07
2014/5/6,38.8
2014/5/8,39
2014/5/9,39
2014/5/12,38.9
2014/5/13,38.86
2014/5/14,39.75
2014/5/16,39.2
2014/5/19,39.38
2014/5/20,39.5
2014/5/22,38.18
2014/5/23,38.55
2014/5/26,38.08
2014/5/28,38.88
2014/5/29,38.5
2014/5/30,38.5
2014/6/3,38.5
2014/6/4,28
2014/6/5,33.3
2014/6/6,34.9
2014/6/9,40
2014/6/10,40
2014/6/11,31.62
2014/6/12,40
2014/6/13,40.15
2014/6/16,40.5
2014/6/17,41.03
2014/6/18,41.03
2014/6/19,35.23
2014/6/20,43.03
2014/6/23,40.86
2014/6/24,39.72
2014/6/25,40.01
2014/6/26,39.1
2014/6/27,39.41
2014/9/4,29
2014/9/19,30.9
2014/9/22,31.4
2014/9/23,32.03
2014/9/24,33
2014/9/25,33.95
2014/9/26,34.36
2014/9/29,34.72
2014/9/30,34.9
2014/10/8,35
2014/10/9,35.1
2014/10/10,35.1
2014/10/13,35.5
2014/10/14,35.5
2014/10/15,35.3
2014/10/16,35.5
2014/10/17,35.65
2014/10/20,35.8
2014/10/21,35.8
2014/10/22,35.8
2014/10/24,35.8
2014/10/27,35.8
2014/10/28,35.8
2014/10/29,35.8
2014/10/30,35.8
2014/10/31,35.6
2014/11/3,35.8
2014/11/4,35.8
2014/11/5,35.8
2014/11/7,35.8
2014/11/10,35.8
2014/11/11,35.5
2014/11/12,35.8
2014/11/13,35.8
2014/11/14,35.1
2014/11/18,32.8
2014/11/19,31.25
2014/11/20,30
2014/11/21,30.83
2014/11/24,32
2014/11/25,33.23
2014/11/26,34.22
2014/11/27,35.53
2014/11/28,35.79
2014/12/1,36.44
2014/12/2,35.78
2014/12/3,35.99
2014/12/4,35.8
2014/12/5,35.58
2014/12/8,35.05
2014/12/9,35.28
2014/12/10,34.97
2014/12/11,34.48
2014/12/12,34.22
2014/12/15,34.27
2014/12/16,34.27
2014/12/17,34.48
2014/12/18,33.63
2014/12/19,33.83
2014/12/22,33.48
2014/12/23,33.06
2014/12/24,32.72
2014/12/25,31.86
2014/12/26,32.1
2014/12/29,32.65
2015/1/5,28.27
2015/1/6,29.96
2015/1/7,29.03
2015/1/8,28.88
2015/1/9,29.75
2015/1/12,29.84
2015/1/13,26.35
2015/1/14,23
2015/1/15,21
2015/1/16,25.94
2015/1/19,27.88
2015/1/20,30.88
2015/1/21,35.88
2015/1/22,34.99
2015/1/23,33.75
2015/1/26,32.69
2015/1/27,33.04
2015/1/28,32.45
2015/1/29,33.26
2015/1/30,32.08
2015/2/2,34.09
2015/2/3,34.4
2015/2/4,35
2015/2/5,34
2015/2/6,33.6
2015/2/9,32.86
