指标名称,中债-中国绿色债券指数,期货结算价(连续):INE原油,中国:碳市场碳排放配额(CEA):最新价,中国:碳市场碳排放配额(CEA):成交量,中国液化天然气出厂价格指数,期货结算价(连续):焦炭,期货结算价(连续):焦煤
2010/1/4,100.0058,,,,,,
2010/1/5,100.0212,,,,,,
2010/1/6,100.0451,,,,,,
2010/1/7,100.0387,,,,,,
2010/1/8,100.0159,,,,,,
2010/1/11,100.0297,,,,,,
2010/1/12,99.9907,,,,,,
2010/1/13,99.9425,,,,,,
2010/1/14,100.0226,,,,,,
2010/1/15,100.0767,,,,,,
2010/1/18,100.1229,,,,,,
2010/1/19,100.135,,,,,,
2010/1/20,100.2862,,,,,,
2010/1/21,100.3546,,,,,,
2010/1/22,100.4552,,,,,,
2010/1/25,100.5155,,,,,,
2010/1/26,100.6221,,,,,,
2010/1/27,100.6544,,,,,,
2010/1/28,100.7144,,,,,,
2010/1/29,100.665,,,,,,
2010/2/1,100.7469,,,,,,
2010/2/2,100.8602,,,,,,
2010/2/3,100.9356,,,,,,
2010/2/4,100.9249,,,,,,
2010/2/5,100.982,,,,,,
2010/2/8,101.1478,,,,,,
2010/2/9,101.2663,,,,,,
2010/2/10,101.253,,,,,,
2010/2/11,101.2819,,,,,,
2010/2/12,101.2874,,,,,,
2010/2/20,101.3705,,,,,,
2010/2/21,101.2802,,,,,,
2010/2/22,101.2838,,,,,,
2010/2/23,101.2619,,,,,,
2010/2/24,101.2789,,,,,,
2010/2/25,101.4066,,,,,,
2010/2/26,101.8002,,,,,,
2010/3/1,101.9171,,,,,,
2010/3/2,101.9019,,,,,,
2010/3/3,101.9642,,,,,,
2010/3/4,101.979,,,,,,
2010/3/5,102.0712,,,,,,
2010/3/8,102.2064,,,,,,
2010/3/9,102.2159,,,,,,
2010/3/10,102.3378,,,,,,
2010/3/11,102.4559,,,,,,
2010/3/12,102.4997,,,,,,
2010/3/15,102.5461,,,,,,
2010/3/16,102.612,,,,,,
2010/3/17,102.6489,,,,,,
2010/3/18,102.6527,,,,,,
2010/3/19,102.7212,,,,,,
2010/3/22,102.7121,,,,,,
2010/3/23,102.7349,,,,,,
2010/3/24,102.7506,,,,,,
2010/3/25,102.7542,,,,,,
2010/3/26,102.762,,,,,,
2010/3/29,102.7887,,,,,,
2010/3/30,102.7748,,,,,,
2010/3/31,102.8214,,,,,,
2010/4/1,102.8026,,,,,,
2010/4/2,102.9165,,,,,,
2010/4/6,102.9783,,,,,,
2010/4/7,102.934,,,,,,
2010/4/8,102.8746,,,,,,
2010/4/9,102.9128,,,,,,
2010/4/12,102.94,,,,,,
2010/4/13,102.9654,,,,,,
2010/4/14,102.995,,,,,,
2010/4/15,103.0607,,,,,,
2010/4/16,103.0677,,,,,,
2010/4/19,103.1865,,,,,,
2010/4/20,103.2433,,,,,,
2010/4/21,103.318,,,,,,
2010/4/22,103.342,,,,,,
2010/4/23,103.4912,,,,,,
2010/4/26,103.4978,,,,,,
2010/4/27,103.5512,,,,,,
2010/4/28,103.5898,,,,,,
2010/4/29,103.5882,,,,,,
2010/4/30,103.6215,,,,,,
2010/5/4,103.6002,,,,,,
2010/5/5,103.6048,,,,,,
2010/5/6,103.6448,,,,,,
2010/5/7,103.771,,,,,,
2010/5/10,103.8666,,,,,,
2010/5/11,103.8694,,,,,,
2010/5/12,103.899,,,,,,
2010/5/13,103.9639,,,,,,
2010/5/14,103.9811,,,,,,
2010/5/17,104.0457,,,,,,
2010/5/18,104.2069,,,,,,
2010/5/19,104.3946,,,,,,
2010/5/20,104.4188,,,,,,
2010/5/21,104.4926,,,,,,
2010/5/24,104.4899,,,,,,
2010/5/25,104.4879,,,,,,
2010/5/26,104.5234,,,,,,
2010/5/27,104.4794,,,,,,
2010/5/28,104.5076,,,,,,
2010/5/31,104.573,,,,,,
2010/6/1,104.5505,,,,,,
2010/6/2,104.5752,,,,,,
2010/6/3,104.6507,,,,,,
2010/6/4,104.6809,,,,,,
2010/6/7,104.777,,,,,,
2010/6/8,104.7868,,,,,,
2010/6/9,104.7967,,,,,,
2010/6/10,104.7953,,,,,,
2010/6/11,104.7255,,,,,,
2010/6/12,104.7916,,,,,,
2010/6/13,104.7742,,,,,,
2010/6/17,104.8396,,,,,,
2010/6/18,104.7328,,,,,,
2010/6/21,104.7612,,,,,,
2010/6/22,104.8083,,,,,,
2010/6/23,104.8167,,,,,,
2010/6/24,104.7447,,,,,,
2010/6/25,104.7261,,,,,,
2010/6/28,104.8244,,,,,,
2010/6/29,104.881,,,,,,
2010/6/30,104.9627,,,,,,
2010/7/1,104.9973,,,,,,
2010/7/2,104.9815,,,,,,
2010/7/5,105.0336,,,,,,
2010/7/6,105.1654,,,,,,
2010/7/7,105.2514,,,,,,
2010/7/8,105.2976,,,,,,
2010/7/9,105.3421,,,,,,
2010/7/12,105.3907,,,,,,
2010/7/13,105.5399,,,,,,
2010/7/14,105.6749,,,,,,
2010/7/15,105.7597,,,,,,
2010/7/16,105.8987,,,,,,
2010/7/19,105.9591,,,,,,
2010/7/20,106.0661,,,,,,
2010/7/21,106.1323,,,,,,
2010/7/22,106.1687,,,,,,
2010/7/23,106.1474,,,,,,
2010/7/26,106.1606,,,,,,
2010/7/27,106.1535,,,,,,
2010/7/28,106.1394,,,,,,
2010/7/29,106.2053,,,,,,
2010/7/30,106.2335,,,,,,
2010/8/2,106.2562,,,,,,
2010/8/3,106.2631,,,,,,
2010/8/4,106.2988,,,,,,
2010/8/5,106.3229,,,,,,
2010/8/6,106.3414,,,,,,
2010/8/9,106.3963,,,,,,
2010/8/10,106.4059,,,,,,
2010/8/11,106.4595,,,,,,
2010/8/12,106.6115,,,,,,
2010/8/13,106.7706,,,,,,
2010/8/16,106.859,,,,,,
2010/8/17,106.8736,,,,,,
2010/8/18,106.8875,,,,,,
2010/8/19,106.9297,,,,,,
2010/8/20,106.9554,,,,,,
2010/8/23,106.9933,,,,,,
2010/8/24,107.0322,,,,,,
2010/8/25,107.0337,,,,,,
2010/8/26,107.0064,,,,,,
2010/8/27,107.0006,,,,,,
2010/8/30,107.0803,,,,,,
2010/8/31,107.0606,,,,,,
2010/9/1,107.0726,,,,,,
2010/9/2,107.1428,,,,,,
2010/9/3,107.1915,,,,,,
2010/9/6,107.2635,,,,,,
2010/9/7,107.2092,,,,,,
2010/9/8,107.2168,,,,,,
2010/9/9,107.1866,,,,,,
2010/9/10,107.1297,,,,,,
2010/9/13,107.0767,,,,,,
2010/9/14,107.0839,,,,,,
2010/9/15,107.0624,,,,,,
2010/9/16,107.038,,,,,,
2010/9/17,107.0407,,,,,,
2010/9/19,107.0554,,,,,,
2010/9/20,107.0396,,,,,,
2010/9/21,107.0276,,,,,,
2010/9/25,107.0302,,,,,,
2010/9/26,107.008,,,,,,
2010/9/27,106.9518,,,,,,
2010/9/28,106.9599,,,,,,
2010/9/29,106.9368,,,,,,
2010/9/30,106.9637,,,,,,
2010/10/8,107.0183,,,,,,
2010/10/9,107.0028,,,,,,
2010/10/11,107.0093,,,,,,
2010/10/12,107.0458,,,,,,
2010/10/13,107.0566,,,,,,
2010/10/14,107.0138,,,,,,
2010/10/15,106.9517,,,,,,
2010/10/18,106.9877,,,,,,
2010/10/19,106.9874,,,,,,
2010/10/20,106.2354,,,,,,
2010/10/21,106.0405,,,,,,
2010/10/22,106.039,,,,,,
2010/10/25,106.034,,,,,,
2010/10/26,105.8237,,,,,,
2010/10/27,105.7318,,,,,,
2010/10/28,105.7428,,,,,,
2010/10/29,105.7147,,,,,,
2010/11/1,105.7451,,,,,,
2010/11/2,105.6476,,,,,,
2010/11/3,105.3986,,,,,,
2010/11/4,105.2292,,,,,,
2010/11/5,105.1816,,,,,,
2010/11/8,105.0908,,,,,,
2010/11/9,105.0451,,,,,,
2010/11/10,104.7831,,,,,,
2010/11/11,104.6224,,,,,,
2010/11/12,104.4811,,,,,,
2010/11/15,104.4508,,,,,,
2010/11/16,104.4281,,,,,,
2010/11/17,104.4446,,,,,,
2010/11/18,104.5021,,,,,,
2010/11/19,104.3817,,,,,,
2010/11/22,104.1342,,,,,,
2010/11/23,104.0192,,,,,,
2010/11/24,103.8955,,,,,,
2010/11/25,103.7334,,,,,,
2010/11/26,103.6561,,,,,,
2010/11/29,103.702,,,,,,
2010/11/30,103.6543,,,,,,
2010/12/1,103.6756,,,,,,
2010/12/2,103.7371,,,,,,
2010/12/3,103.7389,,,,,,
2010/12/6,103.7906,,,,,,
2010/12/7,103.9294,,,,,,
2010/12/8,103.9925,,,,,,
2010/12/9,103.9374,,,,,,
2010/12/10,103.986,,,,,,
2010/12/13,104.0036,,,,,,
2010/12/14,103.9837,,,,,,
2010/12/15,104.0678,,,,,,
2010/12/16,104.1257,,,,,,
2010/12/17,104.1881,,,,,,
2010/12/20,104.2728,,,,,,
2010/12/21,104.3036,,,,,,
2010/12/22,104.3625,,,,,,
2010/12/23,104.3825,,,,,,
2010/12/24,104.3857,,,,,,
